Date,User,Tweet
2014-02-28 22:27:49+00:00,engin2005,#BIST100 http://t.co/UwOHt6ZIXP
2014-02-28 21:35:43+00:00,mytepe,ŞUBAT Ayı Yabancı Takası artan hisseler : #bist #bist100 #takas #borsa http://t.co/nKUANm13nV
2014-02-28 21:35:30+00:00,mytepe,"ŞUBAT Ayı Yabancı Takası artan hisseler :
#bist #bist100 #takas #borsa http://t.co/eaxp24KVse"
2014-02-28 20:40:21+00:00,mytepe,"28.02.2014 Net Alıcı #HSBC Yatırım'ın Net Alıcı Olduğu Hisseler :

#bist100 #bist http://t.co/Ksj20Akuh1"
2014-02-28 20:37:38+00:00,mytepe,"28.02.2014 Net Satıcı Aracı Kurumlar : 

 #bist #bist100 http://t.co/gU8td3eyok"
2014-02-28 20:37:16+00:00,mytepe,"28.02.2014 Net Alıcı Aracı Kurumlar : 
#HSBC Yatırım +198 Milyon Net Alıcı .. İlginç ..

#bist #bist100 http://t.co/l7xsjo5ZzG"
2014-02-28 16:29:40+00:00,Haberciorg1,Bist100 http://t.co/3vanO3jDj5
2014-02-28 16:13:29+00:00,haberciorg,"#Ekonomi #BIST100 
http://t.co/qJNu09eqgi"
2014-02-28 13:58:21+00:00,GkhnAktprk,"#Piyasalarda son durum ; #Finans , #Emtia
#BIST100 62.642
#BIST30 75.965
#DOLAR/TL 2,2075
#EURO/TL 3,0470
#ALTIN 1.330,31
#ALTIN GR 94,33"
2014-02-28 13:06:16+00:00,GulcanSatar,Kafayi yiyecaam Bist100 62.586 Viop3075.500..........
2014-02-28 07:58:32+00:00,haberciorg,"#Ekonomi #Bist100 #Oran
http://t.co/T3mfSo2qyk"
2014-02-28 07:58:20+00:00,Haberciorg1,Bist100 açılış oranları... http://t.co/1PKA5JtFfJ
2014-02-28 07:53:16+00:00,InvestAZ,#Bist100 için bugün ilk direnç seviyesi 62150 olacak.62000 üzerinde kalıcı hareketler daha pozitif bir algı yaratabilir. #endeks #hisse
2014-02-28 06:50:20+00:00,yavuzpasaoglu,#bist100 #VİOP  iki gun satis olan borsada dun herkes kotumserdi klasik ters oldu yukari yapti  vade sonu  nereyi alip verecekler bakalim?
2014-02-27 20:04:48+00:00,CoNNRoaD,#bist100 kağıt alırken mutlaka şiki baba şarkısını dinleyin. Farkı hissedeceksiniz :-)
2014-02-27 17:31:48+00:00,engin2005,#bist100 saatlik grafik http://t.co/9hUNaEkKRS
2014-02-27 16:31:42+00:00,kamuran66,S&amp;p500 1859 uzeri ve $ 2.18 kapatir ise yarin bist100 direk 63.000 acar.
2014-02-27 16:20:51+00:00,Haberciorg1,Bist100 kapanış... http://t.co/QQ1ggqK0l8
2014-02-27 16:20:39+00:00,haberciorg,"#Ekonomi #Bist100 kapanış...
http://t.co/kIv3ObssWN"
2014-02-27 12:43:38+00:00,haberciorg,"#Ekonomi #Bist100 #İlkseans
http://t.co/9dNlZjxj1a"
2014-02-27 11:15:56+00:00,29salih29,@furkansenturk89 furkan kardeş halk bankası 10.70 e geldi burdan alınabilir mi yoksa beklemede fayda mı var.bist100 nereye inebilir sizce.
2014-02-27 10:32:09+00:00,borsaanalizcisi,Bist100 3lü dip olasılığı son umut... Umarım tutar ve içeride sıkışanlara biraz alsın soluk alma fırsatı verir yoksa şelaleye dönüşecek
2014-02-27 10:10:49+00:00,sungurmehmet,"#bist100 #garan #viop Analizden,yorumsuz.. http://t.co/TBjSEbp2gf"
2014-02-27 09:26:47+00:00,haberciorg,"#Ekonomi #bist100 
http://t.co/o6573FYQJy"
2014-02-27 08:26:02+00:00,sasgem,#usdtry ve # bist100.... İşte şimdi onlar düşünsün....
2014-02-27 07:49:59+00:00,InvestAZ,63000 seviyesi altında satış baskısının hakim olduğu  Bist100 için bugün negatif açılış sonrası 60800 - 60500 desteği önemli olacak.#hisse
2014-02-27 07:29:00+00:00,EmreSevimay,@CaptKUTERO viop un matriks'deki kodu nedir. BIST100 mesela xu100 gibi.
2014-02-27 07:13:38+00:00,marin350,#bıst100 açılışla birlikte 60.800 test edilecek.Gün içinde http://t.co/fikaqTYREk li seviyeler görülebilir.
2014-02-27 06:29:05+00:00,yavuzpasaoglu,#VİOP #bist100 $ 2.24
2014-02-27 06:12:21+00:00,yavuzpasaoglu,#bist100 #VİOP Garantide Merill 11.2 milyon arti bu dagilimla dusmesi ilginc.Endeks 61000 li rakamlardan hep yukari dondu bu sefer kirabilir
2014-02-26 18:34:32+00:00,GagarinNuri,When a strong technical signal fail #BIST100
2014-02-26 16:44:28+00:00,engin2005,#bist100  saatlik endeks grafiği http://t.co/HWhTVh9CtI
2014-02-26 15:43:24+00:00,cempekin,bist100 kapanışta 61.503 puan ile temmuz 2012 seviyesine döndü
2014-02-26 15:37:07+00:00,ekonomi_gundem,"#bist100 endeksi, ilk seansı yüzde 0.75 yükselişle 62.586,74 puandan tamamladı. #Borsa #bist100"
2014-02-26 15:28:06+00:00,BorsaSondurum,"Borsa Düşüyor! Endeksi ikinci seansa, ilk seans kapanışının 77,76 puan altında 62.508,98 puandan başladı.  #borsa #bist100"
2014-02-26 15:17:42+00:00,altcelik,"bist100 aylk grafiğmde ise 61,332-48,411 http://t.co/RuYfIYsW31"
2014-02-26 15:17:05+00:00,altcelik,"bist100 haftlık grafiğmde ise destek 46,507 http://t.co/PrOjW65Dye"
2014-02-26 15:15:52+00:00,altcelik,"mrb bist100 günlk grafiğm destklr 62,700-56,356-46,954 http://t.co/QUVgknhfBN"
2014-02-26 15:12:12+00:00,obslck,buda son nakitim #bist100  61bin destegını kıramazsın umarız..
2014-02-26 14:52:04+00:00,integralBistVob,Gelişmekte olan ülkelerin karnelerinde kırık not! http://t.co/9OyTVAUbqF #bist100
2014-02-26 14:48:08+00:00,Beho79,"There was a time #Bist100 was +90.000
... Now -62000"
2014-02-26 14:28:31+00:00,tek071,"@sevinekinci Şevin hnm, son gelişmelerden sonra Bist100 ve büyüme tahminlerinizde değişiklik var mı? tşkr."
2014-02-26 14:04:05+00:00,goksarpos,+seviyelerinden Bıst100 ün destek bulması.Bu da kur seviyesini 2.40 $/TL olarak baz alırsak 48.000 dolaylarında sağlam bir destek noktası ++
2014-02-26 13:48:07+00:00,yigit_sarica,En karanlık geceden sonra bile güneş doğar sabret #bist100 bu da gelir bu da gecer elbet. Kimi teğet gecer kimi deler gecer ;)
