Date,User,Tweet
2019-10-31 22:06:47+00:00,hasan95052,@teknikyolcusu Qnbfb
2019-10-31 21:44:56+00:00,hasan95052,@teknikyolcusu QNBFB ?
2019-10-31 18:20:49+00:00,BorsaFinans34,#QNBFB #matriks https://t.co/kk1Gq76Gbk
2019-10-31 17:34:15+00:00,bankagazetesi,"QNB Finansbank Kar Oranını Yüzde 12 Artırdı #Qnbfb #banka #haber #gündem
https://t.co/9UJBmqWvrK"
2019-10-31 16:39:56+00:00,Haydar33585225,@TheKing_Kral #Qnbfb
2019-10-31 13:59:08+00:00,hulutiuysal,@kaanbey2002 Hocam Bilançolara da pek bakmıyorlar artık iyi bilanço gelenler de neredeyse kırmızı olucak şekil-A #QNBFB rekor bilançosu var ama az sonra kırmızı olucak neredeyse :)))
2019-10-31 10:59:11+00:00,Black_26_Red,"#lkmnh

başlarken demiştim
son 7-8 aydır uyuz diye
siz onu toplama işi bitince görün
#Qnbfb , #tlman , #unyec , #tdgyo  hatta #celha da öyle idi ...😎🤨🤒 https://t.co/btmvlx9yhM"
2019-10-30 16:31:42+00:00,hisseyorumlari,"#QNBFB 2019/09. 3. çeyreği, 9 aylığının https://t.co/wT5jbO6hTu"
2019-10-30 10:05:31+00:00,AKiiliic,Bezdirdin artık açıkla şu bilançoyu #QNBFB
2019-10-30 08:53:38+00:00,muralama,#Qnbfb #qnb şubede bekleme süresini 30 dakikadan 29 dakikaya indirmeniz harika
2019-10-29 20:15:58+00:00,Furkan98341135,#Qnbfb raysg avhol Ulaş dobur ceoem naten hubvc sekur isfin
2019-10-29 18:50:10+00:00,nuaksu,@fatihonline_ #QNBFB
2019-10-28 20:27:27+00:00,teknikeryatirim,"devre kesici hisse paylaşımları için telegram kanalını takip edebilirsiniz.
#YUNSA #IDGYO #MSGYO #GEDIK #QNBFB #FORMT #AKSUE #CUSAN #AVTUR #VAKBN #ARCLK #GENTS #SISE #AEFES #UNYEC #IDEAS #INDES #IZTAR #DOAS #SOKM #AKGUV #KONYA #AFYON #EGSER
https://t.co/sIPZSVx4cq"
2019-10-28 17:50:05+00:00,Sacro_Trade,"Tekrar söylüyorum 

Endeks rakamı önemsiz kağıt lar nasil gidiyor gouyormusunuz. #qnbfb 5 liraydı yahu.
Neler neler.
Yani bu gidiş aynı 2009 uyandirayim"
2019-10-28 05:33:16+00:00,CarkBro,#qnbfb 18.49 destekli. 19.57 önemli direnç. Adım adım 21.14 direncine doğru hareketlerine devam edecek gibi görünüyor https://t.co/AIaOGXh7ti
2019-10-27 14:18:39+00:00,Relax63600428,"@ebru_atala ebru hnm sizi takip ediyorum bütün dedikleriniz çıktı.#Klnma,#Qnbfb ve #Ditaş iyi gitti"
2019-10-27 08:21:07+00:00,MurtazaSarik,#qnbfb bilançonun gelmeme sebebini tahmin ederseniz neler olduğunu anlarsınız ileride açıklarım ytd.
2019-10-26 18:48:29+00:00,teknikeryatirim,"devre kesici hisse paylaşımları telegram da takip edebilirsiniz
#NATEN #POLHO #ODAS #AYEN #ALBRK #AEFES #ADBGR #EMKEL #NETAS #DAGI #DENCM #KATMR #BNTAS #TACTR #TUCLK #RTALB #ECILC #TSPOR #YATAS #QNBFB #KARSN #SILVR #PEKGY #KORDS
https://t.co/sIPZSVx4cq"
2019-10-26 07:15:55+00:00,MurtazaSarik,Qnbfb ile deniz i karşılaştırırsak arada çok fark var ama bana göre finans çok ucuz kalmış yatırım tavsiyesi değildir.
2019-10-25 20:20:16+00:00,teknikeryatirim,"devre kesici hisse paylaşımları telegram da takip edebilirsiniz
#ALCAR #BOLUC  #PRKME #TKFEN #VESTL  #SANKO #TOASO #QNBFB  #MAALT #SRVGY #YKBNK  #DENGE #TATGD #GEREL  #ADBGR #SOKM #AYEN  #BTCIM #AKSUE #KRDMA  #LKMNH #BRSAN #YATAS  #YESIL https://t.co/sIPZSVx4cq"
2019-10-25 16:35:27+00:00,MuratKo32268009,@qlikviewborsa Formt ve Qnbfb var Qnbfb nasil olur sizce p.tesi
2019-10-25 15:24:46+00:00,teknikeryatirim,"devre kesici hisse paylaşımları telegram da takip edebilirsiniz
#YKBNK #SRVGY  #AKGRT #QNBFB #TOASO  #KUYAS #VESTL #ALCAR  #BNTAS #BOLUC #TKFEN  #CLEBI #FLAP #DOCO  #PEGYO #THYAO #AEFES  #LUKSK #LIDFA #KARTN  #ALGYO #VERTU #ALGYO  #SEKUR 
https://t.co/sIPZSVx4cq"
2019-10-25 13:33:06+00:00,Black_26_Red,"benim tarzım size hiç uymaz
ama sıkıntılı yerde olmam
siz kararlarınızı kendinzi vereceksiniz
ben burdayım
çok paraya ihtiyacım olsa idi #QNBFB  satmazdım.
2.5 uğrastım çokta para kazandım. 
BENİM İLİŞİĞİNMİ KESTİĞİMİ DUYURDUĞUMDAN SONRA 1 AY İÇİNDE %200 KÜSÜR PRİM YAPTI https://t.co/SG1yKFTlMg"
2019-10-25 12:56:47+00:00,Black_26_Red,"#CELHA

İMZA ATMIŞIM  447
İMZA ATTIM 550

BEN ASLANIM TAZE SEVERİM

BANA HER YER 
#CELHA
#TLMAN
#Qnbfb 
#ISDMR
#KAPLM
#UNYEC
VS. VS. ...
YETER Kİ CAN BEDENDE
DOST YANINDA 
ANILAR GÖNÜLDE OLSUN ... https://t.co/1XrmgIaKaN"
2019-10-25 12:39:29+00:00,Black_26_Red,"#celha

DOSTLARIM

550 alışa geldiğinde tahta ile ilişiğim kalmamış olacaktır.
aynı #QNBFB  gibi olursun umarım
bir tahtaya daha uçmayı öğretip yuvadan uçurdum
yeni tahta arayışına giriyorum
bulup paylaşacağim
BU TWEETİM  #CELHA İLE SON TWEETİM dir duyurulur"
2019-10-25 11:11:27+00:00,Mehmetalidilekk,70 TL nakit avans çektiğim kredi kartıma 28.75 TL nakit avans faizi gelmiş. Saygılar QNB efsane kar oranı #Qnbfb
2019-10-25 08:24:28+00:00,ebru_atala,#Qnbfb 😍😉
2019-10-25 05:54:15+00:00,ebru_atala,#QNBFB Bugünün Favori Hissesi Kendimce Kimseye Bağlamaz✈️✈️✈️
2019-10-24 19:00:23+00:00,SelinDY_Borsa,“Offf çok sıkıldım “ yazdığımda 10.000 rt yapacak takipçi istiyorum artık . En azından aynı dili konuşmuş oluruz . O niye çıktı bu niye düştü den öteye gidemiyoruz bu şekilde ❤️🍀☕️ #viop #bist100 #brent #akbnk #halkb #tuprs #asels #vakbn #isctr #qnbfb #metro #hdfgs #mepet #avtur
2019-10-24 17:39:53+00:00,ebru_atala,@orhanguclu orhan bey qnbfb rica etsem
2019-10-24 11:22:29+00:00,KaraBirader,#QNBFB Kapanışa doğru yüksekleri bekliyorum. Silkeleme devam ediyor. Yatırım tavsiyesi değildir.
2019-10-23 19:52:40+00:00,kurtulus_mars,@theidealisttt #Qnbfb #isfin ne olur hocam ?
2019-10-23 19:39:15+00:00,Furkan98341135,#Qnbfb egser utpya ozbal
2019-10-23 16:04:44+00:00,ebru_atala,#Klnma Ne dediysek O✈️😄Sırada #Qnbfb var☺️✈️
2019-10-23 09:59:23+00:00,ebru_atala,#Qnbfb ✈️✈️✈️
2019-10-23 05:58:20+00:00,teknikeryatirim,"devre kesici hisse paylaşımları telegram da takip edebilirsiniz
#ASLAN #ODAS #KUYAS #LIDFA #SEKUR #FLAP #EGSER #BIZIM #ISGSY #CMENT #ASELS #SNKRN #PEKGY #FLAP #GUBRF #QNBFB #RYGYO #DAGI #VERTU #SANEL #CMENT #DESPC #AVTUR #ADEL
https://t.co/sIPZSVx4cq"
2019-10-23 05:29:32+00:00,CarkBro,#Qnbfb resim belirsiz. 18.49 direnci 17.73 desteği var. Düzeltme daha olası https://t.co/Dsot0AXxjX
2019-10-22 14:03:48+00:00,HakanBilgetekin,7 sene önce 17900₺(10000$ -186gr al)ile 5737 ad #QNBFB alan birinin ana parası şu an 113798₺(19654$-410 gr al).7 yılda toplam #temettü geliri 33$- 1gr #QNBFB #TEMETTÜ #BİST100 #UVY https://t.co/GCuCT9Tv3S
2019-10-22 06:55:09+00:00,borsaanalizsa,#bist100 #viop30 #borsa #hisse #varant #thyao #pgsus #qnbfb #sasa #soda #sise #trkcm #eregl #krdmd #cemas #adese #asels #vestl #vesbe #arclk #ecilc #bjkas #tkfen #kozal #kozaa #ipeke #dohol #adanac #mrdin #afyon #iehyo #tavhl #toaso #froto #varant #forex #usdtry #xauusd #tcell
2019-10-21 21:15:28+00:00,ebru_atala,#Qnbfb Bu hafta bilanço geliyor yarın 19 üstünü görürüz
2019-10-21 18:34:30+00:00,BorsaFinans34,#QNBFB #matriks https://t.co/zbQv8H8tXs
2019-10-21 11:19:16+00:00,Black_26_Red,"#tlman

bir zamanlar
#QNBFB gibi,
#kaplm gibi,
#unyec gibi
#ısdmr gibi,
ve hatırlayamadığım bir çok yuvadan uçup giden kuşlar gibi kanat çırpıyor
az sonra yuvadan atacağım onu"
2019-10-21 09:23:48+00:00,teknikeryatirim,"#BANVT #ASLAN #GENTS #NIBAS #EREGL #ASUZU #BIZIM #CMBTN #KRDMB #QNBFB #ALCTL #TKNSA #FMIZP #ECZYT #BRSAN #CLEBI #EGPRO #BFREN #ATEKS #VESTL #BNTAS #GOLTS #TOASO #GARFA 

devre kesici hisse paylaşımları telegram da takip edebilirsiniz.

https://t.co/sIPZSVx4cq"
2019-10-21 07:20:49+00:00,ebru_atala,#QNBFB Ve #KLNMA Devam.😉
2019-10-20 21:55:11+00:00,Furkan98341135,#QNBFB DMSAS DESA GARFA UTPYA CELHA
2019-10-20 17:35:54+00:00,gundes_46,@muhsinkavalci @Z_YDGN Qnbfb ?
