Date,User,Tweet
2022-11-15 11:03:23+00:00,BORSACIOMER,"Bugün en çok para girişi olan hisseler.
Şuana kadar.ilk 5💵💵
1.  #kchol
2.  #tuprs
3.  #akbnk 
4.  #KOZAL 
5.  #tavhl"
2022-11-15 10:56:10+00:00,borsa_adami,"#bist Para Giriş-Çıkış Olan Hisseler
PG: #KCHOL #AKBNK #TUPRS #TAVHL #ISCTR 
PÇ: #PETKM #EKGYO #ODAS #THYAO #SISE https://t.co/Sci2HqSjKV"
2022-11-15 10:50:02+00:00,_hidden_world_,"Teknik temel bilgisi olmadan borsada işlem yapan, zararda olan dostlar @NameOfdown hocamın sayfasını takip edin.. Profilini inceleyin... #hisse analizlerinin #borsa da kazanmanıza katkısı olacaktır👍 

#karel #karsn #kchol #kervt #klkim #kmpur #konka #kontr #konya #kords #kozaa"
2022-11-15 10:37:26+00:00,Mega6342,"#agesa  İ T R matik  hiç bir zaman kaçırmaz, eşi benzeri YOK bu algoritmanın, asla hiç bir yerde YOK #garan #thyao #asels #krdmd #petkm #tuprs #ttkom #arclk #halkb #tcell #dohol #otkar #egeen #sasa #eregl  #kchol #tavhl #zoren #dolar #froto #akbnk #tcell https://t.co/QG7qeewUTD https://t.co/3OFZzXwmw1"
2022-11-15 10:37:19+00:00,serseriyatirim,"1.  #sahol #kchol.  Vs vs vs.   Hisseleri çok çok  ucuz  . 

Bu doğru

2. #sasa çok pahalı

Bu da doğru"
2022-11-15 10:36:05+00:00,serseriyatirim,"#sasa yukarıda belirttiğim sebeplerden her ne kadar harika bir şirket olsa da 

Koç+Sabancı+ ........ = #sasa 

Burada bir hata var . 

2 sebep olabilir . 

+++

#kchol #SAHOL #sasa"
2022-11-15 10:34:45+00:00,algotrader44,"#XU100 #bist100 #x30yvade #thyao #kozal #eregl #kchol #krdmd #tuprs #asels #hekts #sasa #akbnk #vakbn #halkb #isctr #ykbnk #garan #skbnk #isgyo #ekgyo #froto #sahol #algotrade 
Komando Robotlar
Bu Volatilitede Bile
Hakkını Veriyor"
2022-11-15 10:31:45+00:00,paradanbilgi,"neticesinde, piyasa Yapıcı kotasyonlarının emir iletiminde yaşanan teknik sorun giderilmiş olup, kotasyon iletimi saat 10:42 Itibarıyla normal işleyişine dönmüştür.
#bist #bist100 #borsa #viop #hisse #xu100 #xu30 #sasa #hekts #thyao #gesan #smartg #yeotek #kchol #bimas #tcell"
2022-11-15 10:27:03+00:00,alipekte,@erdl1971 @songurulus Ya bu adamın borsadan para kazandıgına ben inanmıyorum simdide kchol bilmem kaç altında heryeri sattırır yazmış geçen ayda kchol 39 altına geldi kimse biryeri satmadı 60 oldu nasıl bir kafayla borsa oynuyor bu adam çözemedim
2022-11-15 10:26:13+00:00,borsakrali35,"haftalık listem;

#ODAS
#ENJSA 
#THYAO
#ZOREN 
#KCHOL 
#FROTO 
#MGROS 
#AKSEN"
2022-11-15 10:24:52+00:00,sonerorkun,"1 saatlik kısa bir düzeltme geldi piyasaya, satış dalgası atlatılmış gibi duruyor, bankalardan ziyade sanayi ve yan tahtalarda harekete devam...

#bist100 #bist30 #BORSA #endex #Binance #Bitcoin #sasa #HEKTS #miatk #yeotk #sisecam #ASELS #kchol #ons #DolarTL"
2022-11-15 10:24:09+00:00,paradanbilgi,"ve 16 Parsellerde proje revizyonuna gidilmiş olup, toplam 496 adet konut 711 adet konut olacak şekilde Tadilat Yapı Ruhsatları 08.11.2022 tarihinde alınmıştır.
#bist #bist100 #borsa #viop #hisse #xu100 #xu30 #sasa #hekts #thyao #gesan #smartg #yeotek #kchol #bimas #tcell"
