"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"27.10.2021","1.519,25","1.507,77","1.520,66","1.503,03","2,93B","0,67%"
"26.10.2021","1.509,20","1.501,17","1.512,74","1.501,17","2,25B","1,09%"
"25.10.2021","1.492,93","1.474,97","1.495,10","1.470,59","3,06B","0,88%"
"22.10.2021","1.479,93","1.456,07","1.484,89","1.453,97","2,71B","1,68%"
"21.10.2021","1.455,42","1.433,29","1.455,42","1.417,21","3,43B","1,58%"
"20.10.2021","1.432,80","1.432,24","1.437,93","1.427,67","2,21B","0,21%"
"19.10.2021","1.429,85","1.423,81","1.434,67","1.423,81","1,91B","0,86%"
"18.10.2021","1.417,70","1.411,38","1.419,22","1.407,87","2,05B","0,58%"
"15.10.2021","1.409,56","1.417,45","1.421,69","1.397,15","2,61B","-0,16%"
"14.10.2021","1.411,75","1.412,17","1.422,44","1.407,88","1,78B","-0,13%"
"13.10.2021","1.413,54","1.421,31","1.432,13","1.408,21","2,56B","-0,23%"
"12.10.2021","1.416,82","1.409,42","1.423,02","1.408,01","2,14B","0,04%"
"11.10.2021","1.416,30","1.401,59","1.419,70","1.401,59","1,70B","1,31%"
"08.10.2021","1.398,00","1.398,04","1.404,60","1.393,56","1,93B","0,08%"
"07.10.2021","1.396,92","1.385,05","1.397,93","1.385,05","2,05B","1,84%"
"06.10.2021","1.371,69","1.390,72","1.392,40","1.371,54","2,27B","-1,43%"
"05.10.2021","1.391,65","1.396,11","1.396,44","1.388,54","1,67B","-0,20%"
"04.10.2021","1.394,37","1.402,73","1.407,84","1.394,37","1,58B","-0,51%"
"01.10.2021","1.401,46","1.398,93","1.407,79","1.394,55","1,53B","-0,35%"
"30.09.2021","1.406,39","1.393,64","1.409,19","1.386,09","2,07B","1,04%"
"29.09.2021","1.391,92","1.392,13","1.396,67","1.389,85","1,72B","0,59%"
"28.09.2021","1.383,77","1.391,44","1.393,38","1.379,13","1,87B","-0,57%"
"27.09.2021","1.391,74","1.393,19","1.397,71","1.380,81","1,68B","0,51%"
"24.09.2021","1.384,68","1.397,36","1.397,36","1.376,01","2,03B","-1,20%"
"23.09.2021","1.401,46","1.409,28","1.417,45","1.394,35","2,68B","-0,43%"
