"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.11.2022","102,400","102,300","104,800","101,100","62,31M","1,09%"
"31.10.2022","101,300","97,700","101,500","96,800","65,21M","4,49%"
"28.10.2022","96,950","98,700","99,250","96,950","19,06M","-2,46%"
"27.10.2022","99,400","99,100","100,400","96,500","89,19M","0,61%"
"26.10.2022","98,800","101,200","102,100","98,800","56,88M","-1,69%"
"25.10.2022","100,500","100,100","102,100","99,550","62,93M","1,01%"
"24.10.2022","99,500","98,500","100,200","97,300","77,91M","1,58%"
"21.10.2022","97,950","99,050","99,550","97,600","59,20M","-1,11%"
"20.10.2022","99,050","97,600","100,900","97,350","80,34M","1,69%"
"19.10.2022","97,400","97,700","99,000","96,750","64,21M","0,15%"
"18.10.2022","97,250","99,700","100,500","95,900","74,18M","-1,22%"
"17.10.2022","98,450","90,400","98,900","89,600","94,31M","9,39%"
"14.10.2022","90,000","90,200","90,450","88,650","61,84M","2,27%"
"13.10.2022","88,000","85,600","88,300","85,400","93,87M","3,41%"
"12.10.2022","85,100","84,600","86,050","83,850","77,79M","0,71%"
"11.10.2022","84,500","86,300","86,500","84,500","60,43M","-1,92%"
"10.10.2022","86,150","84,500","86,450","84,300","74,56M","2,32%"
"07.10.2022","84,200","85,100","86,550","83,600","68,72M","-0,59%"
"06.10.2022","84,700","84,950","85,150","83,400","72,00M","-0,12%"
"05.10.2022","84,800","81,600","84,900","81,000","105,46M","4,95%"
"04.10.2022","80,800","79,300","81,450","78,200","105,49M","4,06%"
"03.10.2022","77,650","71,500","77,650","71,300","92,28M","9,99%"
"30.09.2022","70,600","68,650","70,600","67,900","49,91M","2,92%"
"29.09.2022","68,600","69,450","70,550","65,050","64,32M","-0,51%"
"28.09.2022","68,950","70,700","71,200","68,900","43,77M","-2,89%"
"27.09.2022","71,000","69,950","72,150","69,550","68,83M","2,31%"
"26.09.2022","69,400","70,750","71,150","68,250","50,01M","-2,05%"
"23.09.2022","70,850","71,550","73,050","70,500","69,70M","-0,63%"
"22.09.2022","71,300","69,950","72,150","69,150","67,21M","2,22%"
"21.09.2022","69,750","71,800","72,350","68,500","71,62M","-3,73%"
"20.09.2022","72,450","69,950","72,450","68,000","68,40M","5,38%"
"19.09.2022","68,750","74,400","74,550","68,750","43,87M","-7,03%"
"16.09.2022","73,950","74,450","75,350","73,800","52,33M","-0,27%"
"15.09.2022","74,150","74,550","76,500","73,650","89,92M","-0,20%"
