Date,User,Tweet
2021-04-30 23:15:55+00:00,traderayy,"#burger / #bnb 924 ten takibe aldık 2300 gördük (%250)
#tko #dent #hot #Binance     #BUSD #usdt #Chz #holo #btt  #cyrpto #sxp #dot #Ethereum #BtcTurk #btc  #paribu #neo #qtum #xlm #xvg #xrp #fet #vet #ada #cake #bake #sol #win #uni #ltc #vtho #egld
#xu100 #garan #thyao #NEAR https://t.co/0DB0PkeYmp"
2021-04-30 23:01:09+00:00,alpdir_O,"#sarky beğendiğim şirketlerden pozitif görünüm mevcut 14.75 stoplu 15.37-16.20-16.69 sıralı hedefler,16.69 üstünde 18.41 hedef olacaktır.ytd.

#aefes #aghol #akbnk #akcns #aksa #aksen #arclk #algyo #asels  #kchol #ykbnk #tuprs #vakbn #ttkom #thyao #tkfen #tskb #clebi #tmsn"
2021-04-30 22:48:38+00:00,OsmanKIRATLI,@MertBorsaci Hedef nedir thyao
2021-04-30 22:27:51+00:00,alpdir_O,"#otkar 348,86 üzeri kapanışlar önemli 382,26 hedefle takibime giren kağıtlardan 382.26 üstünde kapanışlarda 414-440 - 488 kademeli hedefler olur. Ytd.

#aefes #aghol #akbnk #akcns #aksa #aksen #arclk #algyo #kchol #ykbnk #tuprs #vakbn #ttkom #thyao #tkfen #tskb #clebi #tmsn"
2021-04-30 22:20:27+00:00,alpdir_O,"#sise 7.56 üstü kapanışlarda 7.84-8.00-8.20 ilk hedefler 8.20 üstünde 8.78-9.25 hedef olur ki beklenenin çok altında. Ytd.

#aefes #aghol #akbnk #akcns #aksa #aksen #arclk #algyo #gubrf #ekgyo #isctr #kozaa #kchol #ykbnk #tuprs #vakbn #ttkom #thyao #tkfen #tskb #clebi #tmsn"
2021-04-30 22:09:05+00:00,alpdir_O,"#kozaa 12. 71 ana destek olarak görülmeli 14.30 üstünde ki kapanışlarda 15.98 kısa hedef olur. Ytd.

#aefes #aghol #akbnk  #aksa #aksen #arclk #algyo #asels #bimas #doas #dohol #crfsa #halkb #gubrf #ekgyo #isctr #kozaa #sise #oyakc #kchol #ykbnk #tuprs #vakbn #ttkom #thyao"
2021-04-30 22:02:43+00:00,maneereg,"Bunlar ayni zaman da #clebi ve #jantsa yi pazarlayan grup #atlas #rodrg #spkgovtr
#bist100 #nibas #bjkas  #rtalb #turex #quagr #mtrks #otkar #cemas  #mrshl #sanko #jants #merko #garan #halkb #asels #sasa #garan #marka #ateks #xu100 #akbnk #alcar #thyao #petun #kchol #vertu #bera"
2021-04-30 21:57:53+00:00,varantborsa35,"@vkfmxlsn @Ozgr_YLMZL @dtborsa @erhanacikgoz1 @BAYRAM__AY @__Tiberius İslem hacmi yüksek olup fiyati cok yüksek ya da çok düşük olmayanlar başlamak için daha iyi olabilir. Garan, akbank, thyao, aselsan,kchol vb."
2021-04-30 21:40:15+00:00,HalitKk12,"#xu100 #xu50 #xbank #garan #akbank #skbank #cımsa #oyakc #afyon #krdmd #hekts #tknsa #safkr #thyao #tavhl #sasa #ttrak #eregl #ekgyo #vesbe #kchol #sahol #enjsa #petkm #tcell #ttkom #arclk #vesbe #zoren #otkar #halkb #rtalb

Beni takip edip bana destek olabilirsiniz 😉 https://t.co/5BGJh0w3zd"
2021-04-30 21:37:34+00:00,InvestorTemel,Ben #thyao grafıkledıgım için +5 + 7 lerden dolayı teşekkür eden arkadaslar var. Bnm beklediğim yukselıs o değil lann:) dahası ytd #VESTL #ASELS #ISCTR #KRDMD #VAKBN #MIPAZ #TTKOM #BIMAS #EREGL #PGSUS #IHEVA #KAPLM #YKBNK #EKGYO #IPEKE #KOZAL #DGATE #TUPRS #ALBRK #SKBNK #KCHOL
