Date,User,Tweet
2021-10-31 22:10:14+00:00,hissematik_plus,son 2  haftada  Taramalarımız da  Çıkan ve akibetine  robotlara bağlı olan hisslerimiz   EREGLİ ASELSAN  AKBNK  TCELL  TUPRAS  THYAO  İPEK E  SASA YKBNK     hisseler  güzel primler yaptılar  bunların içinden  EN ÇOK  PRİM YAPANI İSE  #TUPRAS  https://t.co/EmoRaQFeGK
2021-10-31 22:04:06+00:00,AtmacaRlZA,"#TAVHL
#TCELL
#THYAO
#TKFEN
#TTKOM
#TUPRS
#VAKBN
#VESTL
#YKBNK"
2021-10-31 21:39:49+00:00,analiz_mr,"Destek bölgesine yakın hisseler

#mndrs 2.00 
#thyao 14.60 
#formt 1.23 
#bntas 3.15 
#yayla 3.10
#dohol 2.56
#flap 2.25 
#vkgyo 1.50
#akyho 1.85
#hdfgs  2.62 
#indes 6.35 destekler"
2021-10-31 21:27:01+00:00,GordonG45688959,"#THYAO 15,20 üzerine atıp kalamazsa kafayı aşağı çevirir https://t.co/cSqbCMs2a2"
2021-10-31 21:25:46+00:00,garibanromali3,"#brsan #bryat #eregl #isdmr #karsn #kords #aefes #vestel #vesbe #thyao #garan

Kaybetmeye son vermek istiyorsan, öğrenmek istiyorsan tek adres &gt;&gt; @el_patrone_bist"
2021-10-31 21:21:54+00:00,PiyasaRehberim,"Haftanın Hisseleri;

#Enkai

#Isgsy

#Gsray

#Fade

#Ittfh

Yatırım Tavsiyesi Değildir...

Takipte Kalın😉

#PiyasaRehberi #BorsacıAdam

#Xu100 #Dolar  #Halkb #Thyao #Garan #Asels #Flap #Cemas #Adese #Pgsus #Ittfh #Krstl #Zoren #Odas #Oyayo #Denge #Qnbfb #Icbct #Snkron #Aghol"
2021-10-31 21:03:31+00:00,BorsaDLS,Düşeni kıranlar; #akbnk #arsan #egser #garan #gozde #gsaray #ipeke #ismen #kords #kozaa #kozal #krstl #mepet #mndrs #pegyo #sahol #sarky #thyao #bsit100 #XU100 https://t.co/1W06w1CjgJ
2021-10-31 20:55:24+00:00,TeknikAnalizBo1,#thy #thyao - güzel... ytd https://t.co/ErnsoZV0py
2021-10-31 20:35:16+00:00,BorsaDLS,#thyao haftalık direnç üzeri kapamış geldi bakalım... https://t.co/hjCt7Hlzwp https://t.co/i8GTfwcvvh
2021-10-31 20:20:49+00:00,yatirimcibaba1,"Uzak durduğum hisseler: 

Spor: #tspor #fener #gsray #bjkas #xspor 

havayolu: #thyao #pgsus 

turizm: (tamamı) 

Bankalar #garan #halkb #ykbnk #akbnk 

Kamunun ya da varlık fonunun yönettiği şirketler: #ttkom #asels #kozal #kozaa #ipeke

Siz hangi şirketlerden uzak duruyorsunuz?"
2021-10-31 20:19:46+00:00,teknolojikolik,"SON BİR YILIN ZİRVESİNDEKİ HİSSELER
#SARKY #ZRGYO #AKSEN #ENKAI #AKSA #THYAO #DOAS #TUPRS #MAVI #TOASO https://t.co/r5uWHESec1"
2021-10-31 20:19:14+00:00,zeynepxaktas,"SON BİR YILIN ZİRVESİNDEKİ HİSSELER
#SARKY #ZRGYO #AKSEN #ENKAI #AKSA #THYAO #DOAS #TUPRS #MAVI #TOASO https://t.co/ctke99i59K"
2021-10-31 19:55:46+00:00,Ozgurcandir2012,"Ana tahtalarda güçlü kapanış yapan senetlerde 
#Garan 9.4 destek-10.07 direnç 
#Thyao 14.56 destek 15.2 direnç
#Kozal 105 destek 109.3 direnç 
#İpeke 13.34 destek 13.9 direnç
Güncel Seviyeleridir …
İyi haftalar …
Hayırlı ve bereketli bir hafta olması dileğiyle …"
2021-10-31 19:16:41+00:00,SMART_MONEY01,"#thyao 
Net bir adam eve formasyonu var ve kapanış direnç hattının hemen üzerinde oldu. Piyasa müsade ederse hedeflerine yürümekte zorlanmayacaktır. https://t.co/FttR1BszUL"
2021-10-31 19:16:12+00:00,GeliyorValdez,"#thyao 
en son ne demiştim.. 
trend üstüne çıkar kalırsa devam eder.. 
14.70 bölgesini takip ediyoruz.. altta.. 
üstte 15.00-10 bölgesine dikkat ediyoruz.. 
dönüş bölgesi.. https://t.co/NHSJ6Vv3bs"
2021-10-31 18:58:41+00:00,borsainfocu,"Arkadaşlar haftalık listem.
#tspor 🚀🚀🚀🚀
#bioen 🚀🚀🚀
#GESAN 🚀🚀
#glcvy 🚀🚀
#jants 🚀
#petkm 🚀
#thyao 🚀
#ULKER 🚀
#ALKA 🚀
#armda 🚀
güzel bir hafta diliyorum hepinize bol kazançlar .😎💸 !!! KESİNLİKLE YATIRIM TAVSİYESİ DEĞİLDİR!!!"
2021-10-31 18:49:11+00:00,analistaadam,"Zamanında düşen kırılımını beklemek için çizip unuttuğum hisselerden biri: #sarky
Ağlamak istiyorum 🤣

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/4yDcbUDFGw"
2021-10-31 18:47:59+00:00,analistaadam,"#jants düşen kırılımı sonrası çanak gelir mi 🤔

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/VkES8xQqxC"
2021-10-31 18:46:14+00:00,analistaadam,"#thyao bu analizle işim bitmiştir 😎

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/oRpACKVxrP https://t.co/pzV93HB2hA"
2021-10-31 18:44:02+00:00,SevimliSeyyaf,"Yeni tavanlara hazir olun 
Takip et
#el_patrone_bist 

#sasa #petkm #bucim #thyao"
2021-10-31 18:43:03+00:00,Trader_Tex,"Haftalık takip listem; 👊

#hatek 17.07
#tuclk 14.07
#mepet 2.81
#skbnk 1.01
#mndrs 2.09
#krgyo 6.80

Takip listemdir yatırım tavsiyesi değildir,
Hisse bazlı +5 çıkış yerimdir,beğendiğim ile yola devam ederim 👍

#bist #bist30 #bist100 #endeks #garan #thyao"
2021-10-31 18:41:58+00:00,analistaadam,"#vertu

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/nSpY96I2WO"
2021-10-31 18:40:43+00:00,analistaadam,"#garan

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/fcFqM7SXjj"
2021-10-31 18:39:32+00:00,Sari19051919,thyao - @TradingView 'de #THYAO grafiği https://t.co/NJN6V6M3eM
2021-10-31 18:39:08+00:00,analistaadam,"#alcar kanal dibinde ve kırılım vakti yaklaşmış.

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/juAYU224qb"
2021-10-31 18:37:17+00:00,analistaadam,"#bioen kanal dibinde.

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/neVNFdDR1H"
2021-10-31 18:36:09+00:00,analistaadam,"#aydem düşen kırılımı gelmemiş.

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/ZcChIVwUjj"
2021-10-31 18:34:27+00:00,analistaadam,"#yeotk 2 saatlikte flama diyebilir miyiz 🤔 ""Yeni hisse analiz edilmez"" diyenler sadece izleyip bu cümleyi kendine saklasın 🤣

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/D35sMAjOaN"
2021-10-31 18:31:15+00:00,analistaadam,"#armda

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/mnSuiqNyxy"
2021-10-31 18:30:45+00:00,haydarb43303166,Bank off a kitleme istiyorsan takip et. @el_patrone_bist            #ntgaz #cusan #dmsas #ceoem #thyao #Krtek #dohol #altın
2021-10-31 18:29:07+00:00,analistaadam,"#safkr küçük bir çanak mı yapıyor acaba bilemedim 🤔

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/QU6XJUULwp"
2021-10-31 18:26:52+00:00,analistaadam,"#tlman yeniden mayısta kıramadığı dirençle uğraşıyor.

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/GCOfBf6JaZ"
2021-10-31 18:24:59+00:00,analistaadam,"#kutpo 71.40 direncini tekrar deneyecek gibi. Artık kırması lazım.

#bist100 #dolar #endeks #garan #thyao #asels #eregl #hekts #yeotk #aydem #bioen #alcar #esen #vertu #jants https://t.co/IdNqAR1EwV"
