Date,User,Tweet
2022-02-28 23:39:13+00:00,mrtglrx,#thyao herkes rusyaya hava sahasını kapatmışken tüm rusya’nın thy hariç başka bir alternatifi kalmadı ab vb gitmek için !!!! Halen piyasa bunu anlayamadı galiba.
2022-02-28 22:10:28+00:00,sarigulHalill,Biz bunu kendi yanımızda olanlara zamanında yazdık yazmaya da devam edeceğiz TAKİP eden beğenen rt edenler kazanacak gerisi beni ilgilendirmez #ASELS #THYAO https://t.co/BWx4BtJWtl
2022-02-28 21:47:32+00:00,tolgaserdar3,"#thyao 144 milyonluk Rusya için tüm euro destinasyonlarında THY körfez ülkeleri harici rakipsiz kaldı. Henüz anlamadı ama sanırım piyasa.
Korkunç bir yolcu trafiği müthiş bir talep çok yakın. malum yaz dönemi maskelerde çoğu ülkede atılıyor anlayana THY ✈✈🚀🚀"
2022-02-28 21:47:28+00:00,Nazende2011,"#thyao 
Beyin fırtınası yapalım. Tamamen bilgi amaçlı.
Aşağıya #thyao 'nun sade grafiğini RSI indikatörü ile birlikte atıyorum. 
Gördüğünüz veya dikkatinizi çeken ne/neler var? https://t.co/MXEoMXrDHZ"
2022-02-28 21:40:57+00:00,kydostubist,#thyao https://t.co/HOPAPFnSHY
2022-02-28 21:31:58+00:00,Bilaldogar1992,Hisse Tavsiye Listesi / Şeker Yatırım  #Akcns #aksen #selec #mgros #thyao https://t.co/EF6ZkIwPeJ
2022-02-28 21:29:33+00:00,acarx32,"Günlük Para Çıkışı Olan Hisseler - İlk 5 Kurum (TL) 28.02.2022: #THYAO, #GARAN, #EREGL, #PETKM, #PGSUS, #TAVHL, #OTKAR https://t.co/ph7Q1HemHZ"
2022-02-28 21:06:45+00:00,BullTradeerr,#THYAO https://t.co/B2SqTQBGuF
2022-02-28 21:06:09+00:00,mert_sarikan,"#thyao Şimdi bakkal hesabı yap..
Her ülke hava sahasını kapattı ruslara dimi bizde sıkıntı yok illa bu konuda fayda sağlamaları gerekiyor..
Ha turist gelmez fiyatlamasi yapan #xulas bir ateş-kes olması halinde hareketi nasıl olur tahmin edebilirsiniz..
#tavhl #bist #pgsus #doco https://t.co/DAATUtRU9L"
2022-02-28 20:13:19+00:00,explorer_ak,"#thyao  
@Bir_yigitt
 Thy bir yiğitten sorulur"
2022-02-28 20:09:28+00:00,harmonia618,#thyao  4 saatlik görünüm  YTD https://t.co/ymPmMjv247
2022-02-28 19:30:18+00:00,Pisborsaci,#thyao Ytd. https://t.co/4kaEtcBqCI
2022-02-28 19:24:41+00:00,hyildiz34,ESKİ GENEL MÜDÜR İLKER AYCI 18 YERDEN MAAŞ KÖSTÜRÜYORMUŞ YA FAKİRLER #thyao
2022-02-28 19:06:37+00:00,abyucebas,"#VİOP #EREGL #THYAO #TCELL 
01 MART 2022 ŞABLONU https://t.co/0ycKC3nQHr"
2022-02-28 19:06:10+00:00,Halil61271164,@Pisborsaci Hisse thyao
2022-02-28 19:01:18+00:00,igu96265887,⁦@Bir_yigitt⁩ #THYAO https://t.co/8Clw8fjVg7
2022-02-28 18:56:26+00:00,cevik_unal,#thyao @bir_yigitt https://t.co/2QjeQPCoRw
2022-02-28 18:52:36+00:00,baskentli_06_06,"#THYAO  

4s görünümü https://t.co/tsmiTW0fHi"
2022-02-28 18:48:51+00:00,YuNuS6006,"#THYAO #matriks https://t.co/kg3Ue2nde8 
@Bir_yigitt derse yapar."
2022-02-28 18:40:43+00:00,sarigulHalill,Algoritma ve Robotik işlemler ile ilgili eğitim vereceğim desem hangisini tercih edersiniz? #thyao #asels #KOZAL #orcay #ardyz #robot #trade
2022-02-28 18:37:28+00:00,PHOENIX07_,"İyi de piyasanın durumunu görmüyor musun 1 haftadır! Savaş naralarının gezdiği bir ortamda #Thyao gibi hisseler bile devre kesti. Normale döndüğümüzde kaldığı yerden devam ederler

ytd.. https://t.co/nStzbDNabl"
2022-02-28 18:36:58+00:00,m_mekmen,@Bir_yigitt  bu arkadaş kim çözemedim bir #thyao grafiği paylaştı arkasından aynısını 10-15 kişi paylaştı
2022-02-28 18:26:00+00:00,0121Karan,"@akrep2616 #thyao Ayinesi iştir kişinin lafa bakılmaz. 

Yarın ola hayrola @Bir_yigitt"
