Date,User,Tweet
2013-04-30 21:07:13+00:00,FinansHaberler,RT @tansuokurer Bist100 Endeksi'nde tarihi zirveler test ediliyor http://t.co/qWXMoanjoE #borsa #finans #BIST100 http://t.co/5T6KlWQhXi
2013-04-30 14:16:42+00:00,borsaanalizcisi,Bist100 Hacim Bölgeleri http://t.co/lVYzpBFkSg
2013-04-30 12:20:32+00:00,marin350,#BIST100 86.500 Bolinger üst banda doğru yöneldi.Bıst100 ama aslında Bıstbanka.Diğer kağıtlarda pek hareket yok.
2013-04-29 14:37:51+00:00,marin350,#BIST100 Yine DOJİ.???
2013-04-27 18:20:35+00:00,FinansHaberler,"RT @hissemarket GUBRF Gübre
#borsa #dolar #altın #gold #eurusd #vob
#bist100 #teknikanaliz #xauusd #endeks
#vo... http://t.co/Tg3Ib7JAHY"
2013-04-27 17:41:35+00:00,AnalizDefteri,Bize gore endeks #bist100 karar asamasinda. Hacimli zirveyi gecmesi lazim yoksa %20 realizasyon beklentimiz olustu. Destek:84000-82000-78xxx
2013-04-26 11:28:00+00:00,FinansHaberler,"RT @hissemarket Hacim bu sekilde kalabildigi surece duzeltme...Ancak bosluk kapanabilir
#bist100 #xu100 #xauus... http://t.co/G2Pbdpa3Rq"
2013-04-26 09:17:09+00:00,ygo360,Fenerbahçe'nin Bist100'deki degeri diğer 3 büyüğün toplamı kadar olmus... 1 milyar liracik :)
2013-04-25 15:04:25+00:00,umitalpaslann,"@CaptKUTERO bugün bıst100 84.943 ten kapattı diye biliyorum,yanılıyor olabilirim."
2013-04-25 12:44:15+00:00,Erhan043,@xtraderx_ yaris arabamiz (bist100) patinaj mi ? ne cekmeye basladi :)
2013-04-25 11:25:30+00:00,FinansHaberler,"RT @hissemarket Endeks olağan seyrine devam ediyor.....
Ara trende devam....Grafik
#xu100 #bist100 #borsa #alt... http://t.co/RqPvFrvmPi"
2013-04-24 18:53:33+00:00,FinansHaberler,"RT @hissemarket AEFES Sakin bir hisse de  al-sat noktaları....#borsa #xu100 #xauusd #eurusd
 #bist100 #vob #vo... http://t.co/rgl6gAEbMS"
2013-04-24 18:27:18+00:00,BatuhanIlhan,"Faiz indirimler-baskilar devam ederken bist 85 direncini denedi, bilancolar aciklanirken xbank %1,3 bist100 toplamda %0,90 &gt;"
