Date,User,Tweet
2019-04-30 23:54:35+00:00,guneshakan73,thyao yukarıda günlükte 14.44 aşağıda 14.06-05 önemini koruyor. 14.44 üzeri hareketler ve kapanışlar yukarı tepki olasılığını arttırabilir.14.05 altı hareketler ve kapanışlar ise aşağı olasılığını ytd
2019-04-30 23:52:15+00:00,drbarbarosla,#thyao https://t.co/QSfIX6vwHa
2019-04-30 21:02:42+00:00,CengaverCenk25,"#thyao dün belirttiğim 14,45 direncinden dönmüş ve düşen üzerinde kapama yapmış , 14,18-06 destek , 14,45-65-78 dirençler . bist beklentinize göre karar verebilirsiniz . görüşüm desteğe yakın durumda kısa stopla denenebilir. Syg. https://t.co/bHRpZTjkFo"
2019-04-30 20:58:12+00:00,meskunmahalTR,"Buğday fiyatını Temmuz yerine Mayıs'ta açıklamak çok mu zor tarım bakanlığı her yıl aynı şeyi yapıyor . Çiftciye yazıktır, günahtır.
@RTErdogan @tcbestepe @TCTarim @TOBBiletisim
#bist #spk #borsa #kozaa #kozal #ısgsy #sasa #klnma #cusan #prkme #atlas #thyao #asels #gerel #safkr"
2019-04-30 20:33:56+00:00,aokurtulus,@Argtakh MAYIS SONUNDA THYAO ALMAYI https://t.co/qa8i7Tsqr5ÇMİ KALDIM YOKSA KAÇA İNMESİNİ BEKLİYEYİM.SAYGILAR
2019-04-30 20:30:38+00:00,kendimenotlar07,"#usdtry #kozal #kchol #garan #bist100 #akbnk #thyao #krdmd #eregl #petkm #tuprs #sasa #sahol #asels
1 nisanda almışım. Portföyde pek bir gelişme yok.  Bir daha ki ay en,az %5 kazanmalıyım ki beklediğime değmeli. 😉"
2019-04-30 20:23:11+00:00,haluk3634,"#raysg teknik direnc 2,23 ve2,53 destek ise 2,05 dir  2,23 üstü kapatması  sonucunda 2,53 gider olumlu veriler GÜZEL OLACAK GİBİ YTD #SNGYO #YKBNK #aksue #akenr #avhol #sngyo #snkrn #tuclk #doco #asels #nthol #tukas #dogub  #tavhl #vestel #ykbnk #thyao #FLAP #izfas #ALARK #PEGYO https://t.co/pnAA3eMsEB"
2019-04-30 19:43:27+00:00,sanalhisseci,"T1 ve T2 rakamlarını geçerse yeni hikayesi oluşur
#THYAO #matriks https://t.co/VEh7maIee9"
2019-04-30 19:39:36+00:00,meskunmahalTR,"1) İmtiyazlı A sınıfı hisse saçmalığı kaldırmalı
2)Temettü dağıtma zorunluluğu gelmeli
3)Açığa satış hırsızlığı kaldirilmali
#bist #spk #borsa #albrk #kozaa #kozal #ayen #isgsy #mipaz #adese #sasa #klnma #cusan #prkme #beyaz #atlas #dgate #thyao #asels #dengekips #gerel #safkr"
2019-04-30 18:31:12+00:00,piyasalsiyasal,#GARAN #THYAO #GSRAY #AKBNK https://t.co/sNUCqGsUJw
