,şimdi,açılış,fark,avg_polar,tweet_count
2021-09-01,1474.13,1475.62,0.14,0.48326639892904955,747
2021-08-31,1472.07,1467.18,0.95,0.4856070087609512,799
2021-08-27,1458.23,1450.87,0.67,0.47103658536585363,656
2021-08-26,1448.52,1456.0,-0.33,0.4808362369337979,861
2021-08-25,1453.3,1465.28,-0.86,0.48695652173913045,805
2021-08-24,1465.89,1465.18,0.45,0.5023255813953489,860
2021-08-23,1459.33,1454.91,1.02,0.5050761421319797,788
2021-08-20,1444.63,1439.62,0.33,0.4939271255060729,741
2021-08-19,1439.86,1441.38,-0.67,0.5339470655926352,869
2021-08-18,1449.59,1465.81,-0.83,0.5121951219512195,902
2021-08-17,1461.69,1454.14,0.44,0.4582743988684583,707
2021-08-16,1455.25,1451.33,0.53,0.46537396121883656,722
2021-08-13,1447.64,1444.82,0.22,0.4663677130044843,669
2021-08-12,1444.46,1419.69,2.38,0.5260243632336655,903
2021-08-11,1410.87,1438.92,-1.85,0.4664429530201342,894
2021-08-10,1437.46,1429.51,0.34,0.4549019607843137,765
2021-08-09,1432.61,1436.85,-0.15,0.4595959595959596,792
2021-08-06,1434.76,1433.6,0.21,0.5043352601156069,692
2021-08-05,1431.78,1409.05,1.27,0.45610034207525657,877
2021-08-04,1413.8,1411.9,0.35,0.4705111402359109,763
2021-08-03,1408.81,1402.26,0.65,0.4418604651162791,731
2021-08-02,1399.65,1397.98,0.48,0.42329545454545453,704
2021-07-30,1392.91,1383.25,0.09,0.43389830508474575,590
2021-07-29,1391.64,1370.52,2.27,0.48904267589388695,867
2021-07-28,1360.75,1358.79,0.09,0.4574742268041237,776
2021-07-27,1359.55,1348.08,0.77,0.47761194029850745,804
2021-07-26,1349.11,1355.54,-0.18,0.44801980198019803,808
2021-07-19,1351.59,1357.93,-0.86,0.42196531791907516,346
2021-07-16,1363.28,1370.32,-0.29,0.33164983164983164,594
2021-07-14,1367.25,1349.22,1.52,0.44558991981672397,873
2021-07-13,1346.84,1358.27,-0.75,0.38972076082557666,2471
2021-07-12,1356.96,1378.63,-1.55,0.4167573449401523,919
